"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"26/08/2025";"0000";"11,0";"11,1";"11,0";"";"";"";"";"";"";"915,4";"915,4";"914,3";"1,2";"311,0";"2,0";"";"0,0"
"26/08/2025";"0100";"11,0";"11,0";"11,0";"";"";"";"";"";"";"915,5";"915,6";"915,3";"0,2";"251,0";"2,4";"";"0,0"
"26/08/2025";"0200";"11,0";"11,2";"11,0";"";"";"";"";"";"";"915,6";"915,8";"915,5";"0,9";"192,0";"2,8";"";"0,2"
"26/08/2025";"0300";"10,8";"11,0";"10,7";"";"";"";"";"";"";"915,2";"915,6";"915,0";"0,8";"148,0";"1,5";"";"0,2"
"26/08/2025";"0400";"10,7";"10,8";"10,7";"";"";"";"";"";"";"915,1";"915,2";"914,8";"0,6";"64,0";"1,4";"";"0,0"
"26/08/2025";"0500";"10,7";"10,9";"10,7";"";"";"";"";"";"";"914,5";"915,2";"914,5";"0,8";"134,0";"1,0";"";"0,4"
"26/08/2025";"0600";"10,8";"10,8";"10,5";"";"";"";"";"";"";"914,5";"914,6";"914,4";"0,6";"197,0";"1,3";"";"0,0"
"26/08/2025";"0700";"10,6";"10,8";"10,6";"";"";"";"";"";"";"913,5";"914,6";"913,5";"2,4";"92,0";"3,3";"0,10";"0,2"
"26/08/2025";"0800";"10,6";"10,7";"10,5";"";"";"";"";"";"";"913,3";"913,6";"913,3";"3,4";"94,0";"5,1";"";"0,0"
"26/08/2025";"0900";"10,4";"10,6";"10,4";"";"";"";"";"";"";"913,7";"913,7";"913,2";"3,0";"94,0";"5,3";"";"0,0"
"26/08/2025";"1000";"10,4";"10,5";"10,4";"";"";"";"";"";"";"914,3";"914,4";"913,7";"4,1";"73,0";"6,5";"1,30";"0,0"
"26/08/2025";"1100";"10,3";"10,5";"10,2";"";"";"";"";"";"";"915,0";"915,1";"914,3";"4,0";"66,0";"6,5";"28,50";"0,0"
"26/08/2025";"1200";"10,6";"10,6";"10,3";"";"";"";"";"";"";"915,8";"915,8";"915,0";"3,2";"73,0";"5,9";"99,10";"0,2"
"26/08/2025";"1300";"10,9";"10,9";"10,5";"";"";"";"";"";"";"916,0";"916,0";"915,5";"5,1";"98,0";"6,6";"219,60";"0,0"
"26/08/2025";"1400";"11,4";"11,5";"10,9";"";"";"";"";"";"";"916,2";"916,3";"916,0";"5,5";"93,0";"8,0";"250,60";"0,0"
"26/08/2025";"1500";"11,8";"12,0";"11,4";"";"";"";"";"";"";"916,2";"916,4";"916,1";"4,4";"68,0";"8,0";"555,20";"0,0"
"26/08/2025";"1600";"12,8";"13,3";"11,8";"";"";"";"";"";"";"915,2";"916,2";"915,0";"4,9";"76,0";"8,4";"907,60";"0,0"
"26/08/2025";"1700";"12,7";"13,1";"12,7";"";"";"";"";"";"";"915,0";"915,4";"915,0";"5,6";"59,0";"9,5";"679,80";"0,0"
"26/08/2025";"1800";"12,9";"13,1";"12,7";"";"";"";"";"";"";"914,2";"915,0";"914,1";"6,2";"75,0";"9,8";"535,80";"0,0"
"26/08/2025";"1900";"12,7";"13,3";"12,7";"";"";"";"";"";"";"913,9";"914,2";"913,2";"5,6";"87,0";"9,8";"595,00";"0,0"
"26/08/2025";"2000";"12,1";"12,7";"12,1";"";"";"";"";"";"";"914,6";"914,7";"914,0";"2,4";"44,0";"8,6";"135,90";"0,4"
"26/08/2025";"2100";"11,8";"12,1";"11,8";"";"";"";"";"";"";"915,1";"915,2";"914,6";"2,9";"58,0";"6,0";"32,30";"0,4"
"26/08/2025";"2200";"11,7";"11,8";"11,7";"";"";"";"";"";"";"915,4";"915,4";"915,0";"2,1";"51,0";"5,1";"0,60";"0,0"
"26/08/2025";"2300";"11,8";"11,8";"11,7";"";"";"";"";"";"";"915,0";"915,5";"915,0";"2,6";"99,0";"5,4";"";"0,2"
"27/08/2025";"0000";"11,7";"11,9";"11,7";"";"";"";"";"";"";"915,6";"915,6";"915,0";"3,3";"63,0";"6,2";"";"0,2"
"27/08/2025";"0100";"11,7";"11,8";"11,7";"";"";"";"";"";"";"916,2";"916,2";"915,5";"2,8";"43,0";"5,5";"0,20";"0,0"
"27/08/2025";"0200";"11,6";"11,7";"11,6";"";"";"";"";"";"";"916,3";"916,4";"916,2";"1,9";"64,0";"5,0";"0,20";"0,2"
"27/08/2025";"0300";"11,6";"11,6";"11,6";"";"";"";"";"";"";"916,0";"916,3";"916,0";"1,6";"79,0";"3,9";"";"0,0"
"27/08/2025";"0400";"11,4";"11,6";"11,4";"";"";"";"";"";"";"915,5";"916,0";"915,5";"2,4";"81,0";"5,0";"0,40";"0,2"
"27/08/2025";"0500";"11,1";"11,4";"11,1";"";"";"";"";"";"";"915,3";"915,5";"915,1";"4,8";"78,0";"6,9";"";"0,0"
"27/08/2025";"0600";"10,7";"11,1";"10,6";"";"";"";"";"";"";"914,8";"915,3";"914,7";"1,4";"57,0";"6,9";"";"0,0"
"27/08/2025";"0700";"10,5";"10,8";"10,3";"";"";"";"";"";"";"914,6";"914,8";"914,5";"1,3";"77,0";"2,7";"";"0,0"
"27/08/2025";"0800";"10,6";"10,7";"10,4";"";"";"";"";"";"";"914,8";"914,8";"914,5";"1,0";"170,0";"2,5";"";"0,0"
"27/08/2025";"0900";"10,6";"10,6";"10,5";"";"";"";"";"";"";"914,9";"914,9";"914,7";"0,5";"97,0";"2,0";"0,10";"0,0"
"27/08/2025";"1000";"10,4";"10,6";"10,4";"";"";"";"";"";"";"915,6";"915,6";"914,9";"1,9";"100,0";"3,4";"12,00";"0,0"
"27/08/2025";"1100";"10,6";"10,7";"10,3";"";"";"";"";"";"";"916,1";"916,1";"915,6";"1,4";"84,0";"2,8";"139,50";"0,0"
"27/08/2025";"1200";"11,0";"11,1";"10,6";"";"";"";"";"";"";"916,8";"916,8";"916,1";"1,6";"161,0";"3,3";"284,60";"0,0"
"27/08/2025";"1300";"12,0";"12,2";"10,9";"";"";"";"";"";"";"917,0";"917,0";"916,6";"1,2";"84,0";"3,3";"760,00";"0,0"
"27/08/2025";"1400";"14,1";"14,2";"11,8";"88,0";"";"";"12,2";"";"";"916,8";"917,0";"916,8";"2,2";"77,0";"3,4";"1591,90";"0,0"
"27/08/2025";"1500";"16,0";"16,0";"14,1";"81,0";"90,0";"77,0";"12,7";"13,3";"11,4";"916,3";"916,8";"916,3";"4,5";"83,0";"7,8";"2445,60";"0,0"
"27/08/2025";"1600";"17,9";"18,0";"15,6";"70,0";"81,0";"68,0";"12,4";"13,4";"10,7";"915,5";"916,3";"915,5";"4,1";"63,0";"6,7";"2665,30";"0,0"
"27/08/2025";"1700";"16,7";"18,3";"16,2";"70,0";"76,0";"67,0";"11,1";"13,7";"10,8";"914,8";"915,5";"914,8";"4,8";"19,0";"7,6";"2066,60";"0,0"
"27/08/2025";"1800";"16,6";"17,6";"16,3";"69,0";"76,0";"65,0";"10,9";"12,8";"10,2";"914,6";"914,8";"914,6";"5,5";"27,0";"7,9";"2047,30";"0,0"
"27/08/2025";"1900";"16,5";"17,4";"15,8";"72,0";"73,0";"65,0";"11,5";"12,0";"10,0";"914,6";"914,7";"914,4";"5,3";"24,0";"7,4";"1872,40";"0,0"
"27/08/2025";"2000";"15,2";"17,0";"15,1";"79,0";"79,0";"71,0";"11,6";"12,1";"10,8";"915,0";"915,0";"914,6";"4,8";"15,0";"7,4";"742,80";"0,0"
"27/08/2025";"2100";"14,3";"15,7";"14,3";"84,0";"84,0";"78,0";"11,6";"12,1";"11,3";"915,4";"915,4";"915,0";"3,6";"28,0";"6,8";"353,20";"0,0"
"27/08/2025";"2200";"13,7";"14,3";"13,7";"89,0";"89,0";"84,0";"11,9";"11,9";"11,4";"915,9";"915,9";"915,4";"4,1";"39,0";"6,3";"3,30";"0,0"
"27/08/2025";"2300";"13,0";"13,7";"13,0";"";"";"89,0";"";"13,8";"11,9";"916,4";"916,4";"915,9";"3,5";"69,0";"6,3";"";"0,0"
