"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"23,2";"23,8";"23,2";"36,0";"36,0";"33,0";"7,3";"7,3";"6,7";"890,4";"890,4";"889,9";"3,7";"94,0";"6,6";"";"0,0"
"01/09/2025";"0100";"22,0";"23,2";"21,9";"41,0";"41,0";"36,0";"8,0";"8,0";"7,3";"890,9";"890,9";"890,4";"2,3";"104,0";"6,6";"";"0,0"
"01/09/2025";"0200";"21,1";"22,1";"21,1";"43,0";"43,0";"40,0";"8,0";"8,2";"7,9";"890,9";"890,9";"890,8";"1,9";"110,0";"5,0";"";"0,0"
"01/09/2025";"0300";"20,9";"21,4";"20,9";"43,0";"43,0";"42,0";"8,0";"8,0";"7,8";"890,6";"890,9";"890,6";"2,5";"94,0";"6,3";"";"0,0"
"01/09/2025";"0400";"20,6";"21,1";"20,6";"45,0";"45,0";"43,0";"8,2";"8,2";"7,9";"890,3";"890,6";"890,3";"2,5";"105,0";"5,1";"";"0,0"
"01/09/2025";"0500";"20,2";"20,7";"20,0";"47,0";"47,0";"44,0";"8,4";"8,4";"8,2";"890,1";"890,4";"890,1";"3,2";"110,0";"5,7";"";"0,0"
"01/09/2025";"0600";"19,3";"20,2";"19,2";"51,0";"51,0";"47,0";"8,8";"8,9";"8,4";"890,1";"890,2";"890,0";"2,6";"107,0";"9,3";"";"0,0"
"01/09/2025";"0700";"18,6";"19,3";"18,6";"55,0";"55,0";"51,0";"9,2";"9,2";"8,8";"890,2";"890,2";"890,0";"2,8";"99,0";"5,6";"";"0,0"
"01/09/2025";"0800";"18,1";"18,6";"18,0";"58,0";"58,0";"54,0";"9,6";"9,6";"9,2";"890,6";"890,6";"890,1";"3,2";"101,0";"6,7";"";"0,0"
"01/09/2025";"0900";"17,4";"18,1";"17,3";"61,0";"61,0";"58,0";"9,8";"9,8";"9,6";"891,0";"891,0";"890,6";"2,7";"105,0";"6,6";"";"0,0"
"01/09/2025";"1000";"17,7";"17,7";"17,2";"61,0";"62,0";"61,0";"10,2";"10,2";"9,8";"891,6";"891,6";"891,0";"3,6";"102,0";"7,5";"73,50";"0,0"
"01/09/2025";"1100";"18,8";"18,8";"17,7";"60,0";"62,0";"60,0";"10,8";"10,8";"10,2";"892,0";"892,0";"891,6";"5,0";"98,0";"9,1";"796,00";"0,0"
"01/09/2025";"1200";"20,4";"20,4";"18,7";"56,0";"60,0";"55,0";"11,2";"11,3";"10,8";"892,4";"892,5";"892,0";"3,9";"84,0";"10,5";"1672,40";"0,0"
"01/09/2025";"1300";"22,8";"22,8";"20,2";"50,0";"57,0";"50,0";"11,7";"11,8";"11,2";"892,5";"892,6";"892,4";"3,8";"91,0";"7,7";"2438,80";"0,0"
"01/09/2025";"1400";"24,0";"24,2";"22,4";"46,0";"51,0";"45,0";"11,6";"12,0";"11,4";"892,1";"892,5";"892,1";"4,2";"90,0";"8,4";"3003,50";"0,0"
"01/09/2025";"1500";"26,1";"26,1";"23,9";"40,0";"46,0";"40,0";"11,3";"12,0";"11,0";"891,6";"892,1";"891,6";"3,1";"83,0";"7,7";"3276,00";"0,0"
"01/09/2025";"1600";"26,7";"26,9";"25,7";"32,0";"41,0";"32,0";"8,8";"11,5";"8,6";"891,1";"891,6";"891,1";"4,2";"91,0";"8,2";"3313,60";"0,0"
