"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2022";"0000";"19,1";"20,7";"19,1";"59,0";"59,0";"51,0";"10,9";"10,9";"10,1";"889,8";"889,8";"889,4";"0,6";"79,0";"3,5";"";"0,0"
"01/05/2022";"0100";"19,9";"20,0";"18,8";"55,0";"60,0";"55,0";"10,7";"11,1";"10,7";"889,9";"889,9";"889,8";"1,6";"76,0";"3,6";"";"0,0"
"01/05/2022";"0200";"19,6";"20,0";"19,2";"56,0";"58,0";"55,0";"10,6";"10,7";"10,5";"889,7";"889,9";"889,7";"1,9";"92,0";"4,7";"";"0,0"
"01/05/2022";"0300";"19,1";"19,6";"18,9";"58,0";"59,0";"56,0";"10,6";"10,7";"10,5";"889,4";"889,7";"889,4";"1,8";"89,0";"5,5";"";"0,0"
"01/05/2022";"0400";"18,8";"19,4";"18,8";"60,0";"60,0";"57,0";"10,8";"10,8";"10,6";"889,0";"889,5";"889,0";"1,3";"87,0";"4,4";"";"0,0"
"01/05/2022";"0500";"18,7";"18,8";"18,3";"60,0";"62,0";"60,0";"10,8";"10,9";"10,8";"888,4";"889,0";"888,4";"1,8";"91,0";"5,3";"";"0,0"
"01/05/2022";"0600";"18,7";"19,0";"18,3";"60,0";"62,0";"60,0";"10,9";"11,0";"10,8";"888,1";"888,4";"888,1";"2,0";"82,0";"5,3";"";"0,0"
"01/05/2022";"0700";"18,6";"18,9";"18,3";"61,0";"61,0";"60,0";"10,8";"10,9";"10,8";"887,9";"888,1";"887,9";"1,9";"81,0";"5,2";"";"0,0"
"01/05/2022";"0800";"17,8";"18,7";"17,7";"63,0";"63,0";"60,0";"10,7";"10,8";"10,6";"888,1";"888,1";"887,8";"1,4";"94,0";"5,0";"";"0,0"
"01/05/2022";"0900";"18,0";"18,5";"17,8";"62,0";"63,0";"61,0";"10,5";"10,8";"10,4";"888,7";"888,7";"888,1";"1,8";"99,0";"4,6";"";"0,0"
"01/05/2022";"1000";"18,4";"18,7";"17,9";"57,0";"62,0";"55,0";"9,8";"10,5";"9,5";"889,2";"889,3";"888,7";"0,4";"93,0";"4,8";"68,50";"0,0"
"01/05/2022";"1100";"20,5";"20,5";"18,3";"51,0";"58,0";"51,0";"10,1";"10,2";"9,8";"889,9";"889,9";"889,2";"2,2";"98,0";"5,4";"350,30";"0,0"
"01/05/2022";"1200";"21,9";"22,2";"20,5";"54,0";"54,0";"49,0";"12,1";"12,1";"10,2";"890,3";"890,3";"889,9";"3,1";"74,0";"8,3";"1548,80";"0,0"
"01/05/2022";"1300";"24,7";"24,7";"21,9";"47,0";"54,0";"47,0";"12,5";"13,3";"12,0";"890,5";"890,6";"890,2";"4,2";"59,0";"8,7";"2299,40";"0,0"
"01/05/2022";"1400";"25,6";"25,6";"24,2";"44,0";"48,0";"44,0";"12,4";"12,9";"11,7";"890,2";"890,6";"890,2";"3,7";"57,0";"11,4";"2964,60";"0,0"
"01/05/2022";"1500";"25,7";"26,9";"24,6";"41,0";"45,0";"38,0";"11,5";"12,5";"10,4";"889,5";"890,2";"889,5";"3,1";"46,0";"9,2";"3282,20";"0,0"
"01/05/2022";"1600";"26,3";"27,2";"24,5";"42,0";"45,0";"37,0";"12,3";"12,5";"10,3";"888,7";"889,5";"888,7";"2,7";"31,0";"6,5";"2555,20";"0,0"
"01/05/2022";"1700";"26,8";"27,6";"25,8";"37,0";"42,0";"35,0";"10,7";"12,6";"9,9";"888,0";"888,7";"888,0";"1,8";"13,0";"6,4";"3245,90";"0,0"
"01/05/2022";"1800";"27,3";"27,9";"25,2";"34,0";"40,0";"32,0";"10,1";"11,3";"9,2";"887,3";"888,0";"887,3";"2,2";"44,0";"5,7";"1861,30";"0,0"
"01/05/2022";"1900";"26,4";"28,4";"26,4";"37,0";"37,0";"31,0";"10,5";"10,9";"8,9";"887,1";"887,3";"887,1";"2,3";"124,0";"7,3";"2149,00";"0,0"
"01/05/2022";"2000";"25,7";"26,6";"25,6";"42,0";"43,0";"37,0";"11,9";"12,0";"10,4";"887,3";"887,3";"887,1";"1,8";"76,0";"4,4";"1012,90";"0,0"
"01/05/2022";"2100";"22,9";"25,7";"22,9";"51,0";"51,0";"42,0";"12,4";"12,4";"11,3";"887,6";"887,6";"887,3";"0,8";"76,0";"3,6";"202,10";"0,0"
"01/05/2022";"2200";"22,6";"22,9";"22,1";"53,0";"57,0";"51,0";"12,6";"13,1";"12,1";"888,1";"888,1";"887,6";"0,4";"89,0";"3,1";"";"0,0"
"01/05/2022";"2300";"22,3";"22,8";"22,3";"53,0";"54,0";"51,0";"12,4";"12,6";"12,1";"888,8";"888,8";"888,1";"1,1";"73,0";"4,7";"";"0,0"
"02/05/2022";"0000";"22,1";"22,7";"22,1";"55,0";"55,0";"53,0";"12,7";"12,8";"12,4";"889,2";"889,2";"888,7";"1,2";"76,0";"3,8";"";"0,0"
"02/05/2022";"0100";"21,5";"22,2";"21,5";"58,0";"58,0";"55,0";"12,8";"12,8";"12,6";"889,4";"889,4";"889,2";"1,9";"93,0";"4,2";"";"0,0"
"02/05/2022";"0200";"21,2";"21,5";"20,9";"58,0";"60,0";"58,0";"12,7";"13,0";"12,7";"889,4";"889,5";"889,3";"2,1";"74,0";"4,8";"";"0,0"
"02/05/2022";"0300";"20,8";"21,2";"20,7";"58,0";"59,0";"57,0";"12,3";"12,6";"12,3";"889,3";"889,4";"889,3";"2,7";"74,0";"5,0";"";"0,0"
"02/05/2022";"0400";"20,2";"20,8";"20,1";"59,0";"60,0";"58,0";"11,9";"12,3";"11,9";"889,0";"889,3";"889,0";"2,7";"71,0";"5,4";"";"0,0"
"02/05/2022";"0500";"19,9";"20,4";"19,9";"59,0";"60,0";"58,0";"11,8";"11,9";"11,7";"888,7";"889,0";"888,7";"2,5";"79,0";"5,3";"";"0,0"
"02/05/2022";"0600";"19,6";"20,2";"19,6";"62,0";"62,0";"59,0";"12,1";"12,2";"11,7";"888,5";"888,7";"888,5";"2,8";"76,0";"5,6";"";"0,0"
