"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2022";"0000";"20,3";"21,2";"19,5";"54,0";"57,0";"52,0";"10,7";"11,3";"10,6";"888,7";"888,7";"888,3";"2,1";"114,0";"4,4";"";"0,0"
"01/05/2022";"0100";"19,7";"20,3";"19,6";"56,0";"56,0";"54,0";"10,7";"10,8";"10,6";"888,8";"888,8";"888,7";"1,7";"111,0";"4,4";"";"0,0"
"01/05/2022";"0200";"19,5";"19,8";"18,9";"57,0";"59,0";"56,0";"10,7";"10,8";"10,6";"888,6";"888,8";"888,6";"2,0";"104,0";"4,4";"";"0,0"
"01/05/2022";"0300";"18,0";"20,0";"18,0";"65,0";"65,0";"56,0";"11,3";"11,4";"10,7";"888,5";"888,6";"888,5";"1,6";"135,0";"4,4";"";"0,0"
"01/05/2022";"0400";"15,1";"18,1";"15,1";"78,0";"78,0";"65,0";"11,3";"11,5";"11,1";"888,0";"888,5";"888,0";"1,0";"111,0";"2,6";"";"0,0"
"01/05/2022";"0500";"14,5";"15,1";"14,5";"81,0";"81,0";"78,0";"11,3";"11,6";"11,2";"887,4";"888,0";"887,4";"0,6";"104,0";"2,0";"";"0,0"
"01/05/2022";"0600";"18,0";"18,0";"14,5";"65,0";"82,0";"65,0";"11,3";"12,1";"11,3";"887,1";"887,4";"887,1";"1,4";"104,0";"2,9";"";"0,0"
"01/05/2022";"0700";"13,8";"18,0";"13,8";"84,0";"84,0";"65,0";"11,2";"11,6";"10,9";"886,9";"887,1";"886,9";"1,3";"130,0";"2,7";"";"0,0"
"01/05/2022";"0800";"13,8";"14,3";"13,6";"87,0";"87,0";"84,0";"11,8";"11,9";"11,1";"887,0";"887,0";"886,9";"1,1";"116,0";"2,2";"";"0,0"
"01/05/2022";"0900";"13,5";"14,0";"13,4";"87,0";"88,0";"86,0";"11,3";"11,9";"11,2";"887,7";"887,7";"887,0";"1,1";"95,0";"2,6";"";"0,0"
"01/05/2022";"1000";"17,2";"17,2";"13,3";"71,0";"87,0";"71,0";"12,0";"12,3";"11,1";"888,4";"888,4";"887,7";"1,9";"103,0";"3,6";"59,00";"0,0"
"01/05/2022";"1100";"19,6";"19,8";"17,2";"59,0";"71,0";"58,0";"11,3";"11,9";"11,0";"889,1";"889,1";"888,4";"3,0";"104,0";"5,8";"697,70";"0,0"
"01/05/2022";"1200";"21,1";"21,1";"19,6";"56,0";"60,0";"56,0";"12,0";"12,1";"11,1";"889,4";"889,4";"889,1";"3,7";"91,0";"6,3";"1550,90";"0,0"
"01/05/2022";"1300";"22,4";"23,1";"20,8";"54,0";"57,0";"52,0";"12,7";"13,2";"11,7";"889,8";"889,8";"889,4";"3,7";"93,0";"6,1";"2290,90";"0,0"
"01/05/2022";"1400";"24,1";"24,2";"22,1";"49,0";"56,0";"49,0";"12,8";"13,8";"12,5";"889,3";"889,9";"889,3";"3,9";"112,0";"7,6";"2787,40";"0,0"
"01/05/2022";"1500";"24,7";"25,6";"23,6";"49,0";"51,0";"46,0";"13,1";"13,9";"12,5";"888,6";"889,4";"888,6";"2,6";"54,0";"7,6";"3164,40";"0,0"
"01/05/2022";"1600";"25,4";"26,6";"23,9";"40,0";"51,0";"38,0";"10,9";"13,8";"10,9";"887,7";"888,6";"887,7";"1,8";"22,0";"7,0";"2453,70";"0,0"
"01/05/2022";"1700";"25,4";"27,5";"25,0";"40,0";"43,0";"36,0";"10,9";"12,2";"9,9";"887,0";"887,7";"887,0";"1,5";"126,0";"5,4";"2673,40";"0,0"
