"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/08/2025";"0000";"9,6";"9,6";"9,2";"90,0";"90,0";"90,0";"8,0";"8,0";"7,6";"911,9";"912,1";"911,9";"3,1";"70,0";"6,9";"";"0,0"
"16/08/2025";"0100";"9,5";"9,8";"9,5";"88,0";"90,0";"88,0";"7,6";"7,9";"7,6";"911,8";"912,0";"911,7";"3,6";"70,0";"7,6";"";"0,0"
"16/08/2025";"0200";"9,9";"9,9";"9,5";"86,0";"88,0";"86,0";"7,6";"7,8";"7,6";"912,0";"912,1";"911,7";"4,9";"62,0";"9,1";"";"0,0"
"16/08/2025";"0300";"9,6";"10,0";"9,5";"86,0";"86,0";"84,0";"7,3";"7,6";"7,2";"912,1";"912,2";"912,0";"4,4";"61,0";"10,3";"";"0,0"
"16/08/2025";"0400";"9,6";"9,7";"9,6";"86,0";"87,0";"84,0";"7,5";"7,5";"7,2";"911,7";"912,1";"911,7";"5,6";"53,0";"11,8";"";"0,0"
"16/08/2025";"0500";"9,5";"9,7";"9,2";"88,0";"88,0";"85,0";"7,6";"7,6";"7,3";"911,6";"911,7";"911,5";"3,7";"45,0";"11,5";"";"0,0"
"16/08/2025";"0600";"8,7";"9,5";"8,6";"91,0";"91,0";"87,0";"7,3";"7,6";"7,1";"911,2";"911,6";"911,2";"2,8";"45,0";"6,6";"";"0,0"
"16/08/2025";"0700";"8,3";"8,7";"8,3";"92,0";"93,0";"91,0";"7,0";"7,3";"7,0";"910,5";"911,2";"910,5";"3,8";"55,0";"5,9";"";"0,0"
"16/08/2025";"0800";"8,1";"8,3";"8,1";"91,0";"92,0";"91,0";"6,7";"7,1";"6,7";"910,2";"910,5";"910,1";"4,0";"47,0";"7,6";"";"0,0"
"16/08/2025";"0900";"8,1";"8,2";"8,0";"92,0";"92,0";"91,0";"6,9";"7,0";"6,7";"910,9";"910,9";"910,2";"2,5";"57,0";"6,9";"";"0,0"
"16/08/2025";"1000";"8,3";"8,3";"8,1";"92,0";"93,0";"92,0";"7,2";"7,2";"6,8";"911,3";"911,4";"910,8";"2,6";"70,0";"5,5";"19,50";"0,0"
"16/08/2025";"1100";"10,5";"10,7";"8,3";"85,0";"92,0";"84,0";"8,1";"8,2";"7,2";"911,7";"911,7";"911,2";"5,6";"56,0";"9,0";"639,10";"0,0"
"16/08/2025";"1200";"11,1";"11,1";"10,2";"81,0";"86,0";"81,0";"8,0";"8,6";"7,6";"911,8";"911,9";"911,7";"6,0";"52,0";"10,2";"713,90";"0,0"
"16/08/2025";"1300";"12,5";"13,0";"11,0";"75,0";"81,0";"74,0";"8,1";"8,9";"7,8";"911,9";"912,0";"911,8";"5,5";"50,0";"10,0";"1211,50";"0,0"
"16/08/2025";"1400";"14,8";"14,8";"12,4";"69,0";"76,0";"69,0";"9,0";"9,4";"8,3";"911,4";"911,9";"911,4";"5,0";"52,0";"9,5";"2058,10";"0,0"
"16/08/2025";"1500";"15,8";"15,8";"14,2";"68,0";"70,0";"65,0";"9,9";"9,9";"8,5";"911,1";"911,5";"911,1";"3,7";"57,0";"7,6";"2455,50";"0,0"
"16/08/2025";"1600";"16,4";"17,3";"14,6";"63,0";"70,0";"60,0";"9,2";"9,9";"8,6";"910,0";"911,1";"910,0";"4,2";"67,0";"8,8";"2750,00";"0,0"
"16/08/2025";"1700";"16,8";"17,3";"15,7";"63,0";"65,0";"60,0";"9,8";"9,8";"8,7";"909,4";"910,1";"909,4";"4,1";"67,0";"8,5";"2468,10";"0,0"
"16/08/2025";"1800";"17,0";"17,2";"16,2";"61,0";"64,0";"60,0";"9,4";"10,0";"9,0";"908,9";"909,4";"908,8";"3,9";"39,0";"8,0";"2037,20";"0,2"
"16/08/2025";"1900";"16,3";"17,3";"16,2";"64,0";"65,0";"59,0";"9,6";"10,3";"8,9";"908,7";"908,9";"908,7";"3,4";"66,0";"7,1";"1421,80";"0,0"
