"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2025";"0000";"15,8";"18,0";"15,8";"69,0";"69,0";"44,0";"10,1";"10,1";"5,6";"925,0";"925,1";"924,6";"";"196,0";"";"";"0,0"
"01/05/2025";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2025";"0200";"16,0";"16,3";"15,7";"73,0";"77,0";"73,0";"11,2";"11,7";"11,2";"925,1";"925,2";"925,1";"";"236,0";"";"";"0,0"
"01/05/2025";"0300";"15,6";"16,0";"15,6";"69,0";"75,0";"68,0";"9,9";"11,2";"9,8";"925,1";"925,1";"925,0";"";"236,0";"";"";"0,0"
"01/05/2025";"0400";"15,9";"15,9";"15,5";"61,0";"69,0";"61,0";"8,4";"9,9";"8,4";"924,6";"925,1";"924,6";"";"249,0";"";"";"0,0"
"01/05/2025";"0500";"16,0";"16,3";"15,8";"60,0";"61,0";"57,0";"8,3";"8,4";"7,6";"924,4";"924,7";"924,3";"";"240,0";"";"";"0,0"
"01/05/2025";"0600";"15,4";"16,1";"15,3";"65,0";"65,0";"58,0";"8,7";"8,7";"7,9";"924,3";"924,4";"924,2";"";"248,0";"";"";"0,0"
"01/05/2025";"0700";"15,0";"15,5";"14,9";"70,0";"71,0";"64,0";"9,6";"9,7";"8,7";"924,3";"924,4";"924,3";"";"245,0";"";"";"0,0"
"01/05/2025";"0800";"14,9";"15,1";"14,7";"72,0";"72,0";"70,0";"9,9";"9,9";"9,6";"924,5";"924,5";"924,3";"";"244,0";"";"";"0,0"
"01/05/2025";"0900";"14,4";"14,9";"14,4";"77,0";"77,0";"72,0";"10,4";"10,4";"10,0";"924,7";"924,7";"924,3";"";"240,0";"";"";"0,0"
"01/05/2025";"1000";"13,9";"14,4";"13,9";"78,0";"79,0";"77,0";"10,2";"10,4";"10,2";"925,5";"925,5";"924,7";"";"240,0";"";"1,20";"0,0"
"01/05/2025";"1100";"14,8";"14,8";"13,8";"75,0";"79,0";"75,0";"10,5";"10,5";"10,1";"926,1";"926,2";"925,5";"";"240,0";"";"331,30";"0,0"
"01/05/2025";"1200";"16,4";"16,5";"14,8";"71,0";"75,0";"70,0";"11,1";"11,3";"10,4";"926,7";"926,8";"926,1";"";"216,0";"";"1081,20";"0,0"
"01/05/2025";"1300";"18,0";"18,1";"16,3";"67,0";"71,0";"65,0";"11,8";"11,8";"10,9";"927,2";"927,2";"926,7";"";"221,0";"";"1818,60";"0,0"
