"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2022";"0000";"25,0";"26,1";"24,4";"61,0";"64,0";"48,0";"16,9";"17,2";"14,0";"930,4";"930,4";"929,7";"0,8";"223,0";"1,9";"";""
"01/05/2022";"0100";"24,5";"25,6";"24,3";"63,0";"68,0";"56,0";"17,1";"18,0";"16,2";"930,5";"930,5";"930,4";"0,0";"224,0";"1,3";"";""
"01/05/2022";"0200";"23,3";"25,0";"23,3";"71,0";"71,0";"61,0";"17,6";"18,5";"16,7";"930,5";"930,6";"930,4";"0,0";"191,0";"0,0";"";""
"01/05/2022";"0300";"24,1";"24,1";"23,2";"57,0";"71,0";"57,0";"14,9";"17,9";"14,9";"930,4";"930,6";"930,4";"1,2";"79,0";"1,8";"";""
"01/05/2022";"0400";"23,1";"24,6";"23,0";"65,0";"65,0";"54,0";"16,1";"16,1";"14,6";"930,1";"930,4";"930,1";"1,4";"51,0";"3,1";"";""
"01/05/2022";"0500";"22,5";"23,5";"22,5";"70,0";"70,0";"65,0";"16,6";"16,7";"16,2";"929,5";"930,1";"929,5";"1,4";"31,0";"2,9";"";""
"01/05/2022";"0600";"21,6";"22,5";"21,5";"73,0";"73,0";"70,0";"16,6";"16,8";"16,5";"929,2";"929,5";"929,2";"1,8";"19,0";"2,7";"";""
"01/05/2022";"0700";"21,8";"22,0";"21,6";"72,0";"73,0";"70,0";"16,6";"16,6";"16,3";"929,5";"929,5";"929,2";"2,0";"11,0";"2,9";"";""
"01/05/2022";"0800";"21,9";"22,4";"21,3";"69,0";"73,0";"68,0";"15,9";"16,6";"15,9";"929,5";"929,5";"929,4";"2,7";"8,0";"3,9";"";""
"01/05/2022";"0900";"21,3";"21,9";"21,2";"72,0";"73,0";"69,0";"16,0";"16,1";"15,8";"929,9";"929,9";"929,5";"1,8";"7,0";"3,9";"";""
"01/05/2022";"1000";"21,0";"21,5";"20,7";"72,0";"73,0";"70,0";"15,7";"16,0";"15,6";"930,5";"930,5";"929,9";"1,8";"351,0";"3,3";"3,80";""
"01/05/2022";"1100";"22,7";"22,7";"20,8";"67,0";"73,0";"65,0";"16,3";"16,3";"15,5";"931,2";"931,2";"930,5";"1,5";"351,0";"3,4";"316,00";""
"01/05/2022";"1200";"24,8";"24,8";"22,7";"59,0";"67,0";"58,0";"16,2";"16,9";"15,7";"931,7";"931,7";"931,2";"2,9";"360,0";"5,1";"1015,40";""
"01/05/2022";"1300";"26,4";"26,6";"24,8";"56,0";"61,0";"53,0";"16,8";"17,7";"15,9";"932,1";"932,1";"931,7";"3,4";"2,0";"5,7";"1692,40";""
"01/05/2022";"1400";"27,4";"27,8";"26,3";"52,0";"56,0";"50,0";"16,7";"17,3";"16,1";"932,1";"932,2";"932,1";"3,4";"6,0";"5,7";"2182,80";""
"01/05/2022";"1500";"28,5";"28,9";"27,4";"47,0";"53,0";"44,0";"16,0";"18,2";"15,1";"931,6";"932,1";"931,6";"2,4";"344,0";"5,8";"2492,40";""
"01/05/2022";"1600";"29,3";"30,0";"28,3";"42,0";"48,0";"41,0";"14,9";"17,0";"14,1";"930,8";"931,6";"930,8";"2,7";"344,0";"5,8";"2657,00";""
"01/05/2022";"1700";"29,9";"30,9";"28,9";"42,0";"46,0";"39,0";"15,5";"16,3";"14,4";"930,1";"930,8";"930,1";"1,4";"46,0";"4,9";"2595,90";""
"01/05/2022";"1800";"29,9";"30,8";"29,3";"41,0";"45,0";"39,0";"15,1";"16,1";"14,6";"929,1";"930,1";"929,1";"1,7";"360,0";"4,6";"2421,60";""
"01/05/2022";"1900";"30,0";"30,2";"29,3";"41,0";"43,0";"35,0";"15,3";"16,0";"12,7";"928,6";"929,1";"928,6";"1,8";"347,0";"5,3";"1868,20";""
"01/05/2022";"2000";"29,7";"31,1";"29,2";"40,0";"45,0";"37,0";"14,7";"16,2";"13,6";"928,7";"928,7";"928,6";"1,1";"328,0";"3,5";"1213,60";""
"01/05/2022";"2100";"27,3";"29,8";"27,3";"51,0";"53,0";"38,0";"16,2";"17,0";"13,6";"928,8";"928,8";"928,5";"0,5";"57,0";"2,5";"413,70";""
"01/05/2022";"2200";"25,3";"27,7";"25,0";"60,0";"62,0";"41,0";"17,0";"17,3";"13,3";"929,1";"929,1";"928,8";"2,3";"204,0";"4,4";"15,70";""
"01/05/2022";"2300";"25,5";"25,5";"25,1";"54,0";"60,0";"54,0";"15,5";"16,9";"15,3";"929,5";"929,5";"929,1";"1,4";"136,0";"3,4";"";""
"02/05/2022";"0000";"24,8";"25,5";"24,4";"56,0";"57,0";"53,0";"15,5";"15,5";"15,0";"929,9";"929,9";"929,5";"1,8";"66,0";"2,6";"";""
"02/05/2022";"0100";"23,4";"25,0";"23,4";"62,0";"62,0";"55,0";"15,7";"15,7";"15,0";"930,4";"930,4";"929,9";"1,0";"52,0";"2,6";"";""
"02/05/2022";"0200";"21,5";"23,3";"21,0";"76,0";"79,0";"62,0";"17,0";"17,2";"15,8";"930,4";"930,4";"930,3";"1,0";"29,0";"1,7";"";""
"02/05/2022";"0300";"22,3";"23,7";"21,3";"64,0";"76,0";"59,0";"15,1";"17,1";"14,7";"930,5";"930,5";"930,3";"1,2";"52,0";"3,0";"";""
"02/05/2022";"0400";"21,6";"22,4";"21,6";"67,0";"69,0";"64,0";"15,3";"15,8";"15,1";"930,5";"930,6";"930,4";"1,0";"56,0";"2,6";"";""
"02/05/2022";"0500";"21,3";"22,0";"21,2";"65,0";"69,0";"61,0";"14,5";"15,4";"14,0";"930,1";"930,6";"930,1";"1,2";"73,0";"3,7";"";""
"02/05/2022";"0600";"20,5";"21,3";"20,4";"69,0";"70,0";"65,0";"14,6";"14,9";"14,4";"929,8";"930,1";"929,8";"1,8";"16,0";"3,0";"";""
"02/05/2022";"0700";"20,9";"21,1";"20,4";"66,0";"69,0";"65,0";"14,2";"14,6";"14,1";"929,8";"929,8";"929,7";"2,2";"11,0";"3,0";"";""
"02/05/2022";"0800";"21,1";"21,2";"20,1";"65,0";"69,0";"65,0";"14,3";"14,5";"14,0";"929,9";"929,9";"929,7";"1,8";"3,0";"3,2";"";""
"02/05/2022";"0900";"19,6";"21,2";"19,6";"71,0";"71,0";"64,0";"14,1";"14,3";"14,0";"930,2";"930,2";"929,8";"1,6";"334,0";"2,9";"";""
"02/05/2022";"1000";"19,5";"20,0";"19,0";"70,0";"74,0";"68,0";"14,0";"14,4";"13,7";"931,0";"931,0";"930,2";"0,6";"329,0";"2,7";"3,90";""
"02/05/2022";"1100";"23,1";"23,1";"19,4";"59,0";"71,0";"59,0";"14,7";"15,1";"13,9";"931,8";"931,8";"931,0";"1,1";"339,0";"1,8";"310,40";""
"02/05/2022";"1200";"25,0";"25,0";"23,1";"57,0";"59,0";"53,0";"15,8";"15,8";"14,2";"932,3";"932,3";"931,8";"2,0";"353,0";"3,6";"996,50";""
"02/05/2022";"1300";"27,1";"27,2";"24,9";"46,0";"58,0";"45,0";"14,6";"16,3";"14,0";"932,6";"932,6";"932,3";"2,3";"4,0";"4,1";"1667,00";""
"02/05/2022";"1400";"28,3";"28,4";"27,0";"42,0";"48,0";"41,0";"14,2";"16,0";"13,6";"932,2";"932,6";"932,1";"3,8";"22,0";"7,0";"2170,40";""
