"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"31/10/2022";"0000";"13,9";"14,0";"13,9";"98,0";"98,0";"98,0";"13,6";"13,7";"13,5";"854,6";"855,0";"853,6";"1,2";"299,0";"2,5";"";"0,4"
"31/10/2022";"0100";"13,8";"13,9";"13,7";"98,0";"98,0";"98,0";"13,5";"13,6";"13,4";"855,3";"855,3";"854,5";"1,5";"252,0";"2,9";"";"0,0"
"31/10/2022";"0200";"13,7";"13,9";"13,7";"98,0";"98,0";"98,0";"13,5";"13,6";"13,5";"854,6";"855,5";"854,6";"1,7";"249,0";"3,1";"";"0,0"
"31/10/2022";"0300";"13,8";"13,8";"13,6";"98,0";"98,0";"98,0";"13,5";"13,6";"13,4";"855,0";"855,0";"854,4";"1,4";"240,0";"2,7";"";"0,0"
"31/10/2022";"0400";"13,6";"13,9";"13,6";"98,0";"98,0";"98,0";"13,3";"13,6";"13,3";"854,6";"855,1";"854,6";"0,7";"237,0";"3,3";"";"0,0"
"31/10/2022";"0500";"13,6";"13,6";"13,2";"98,0";"98,0";"98,0";"13,2";"13,3";"12,9";"854,7";"854,7";"854,3";"1,1";"220,0";"2,1";"";"0,0"
"31/10/2022";"0600";"13,6";"13,6";"13,4";"98,0";"98,0";"98,0";"13,3";"13,4";"13,1";"854,2";"854,7";"853,9";"1,6";"176,0";"3,2";"";"0,2"
"31/10/2022";"0700";"13,6";"13,7";"13,6";"98,0";"98,0";"98,0";"13,4";"13,4";"13,3";"853,6";"854,2";"853,6";"2,2";"164,0";"4,2";"";"0,0"
"31/10/2022";"0800";"14,0";"14,0";"13,6";"98,0";"98,0";"98,0";"13,7";"13,7";"13,4";"854,8";"854,9";"853,6";"2,0";"163,0";"4,2";"";"0,0"
"31/10/2022";"0900";"14,1";"14,1";"13,9";"98,0";"98,0";"98,0";"13,7";"13,8";"13,6";"856,1";"856,1";"854,8";"1,5";"156,0";"4,0";"15,50";"0,0"
"31/10/2022";"1000";"14,5";"14,5";"13,9";"96,0";"98,0";"96,0";"13,9";"13,9";"13,5";"856,4";"856,6";"856,1";"1,3";"121,0";"4,3";"297,20";"0,0"
"31/10/2022";"1100";"15,0";"15,7";"14,5";"81,0";"96,0";"80,0";"11,8";"14,4";"11,6";"857,1";"857,4";"856,4";"2,6";"146,0";"5,0";"1351,20";"0,0"
"31/10/2022";"1200";"14,6";"15,7";"14,3";"89,0";"91,0";"80,0";"12,9";"13,0";"11,7";"857,9";"858,0";"856,9";"1,8";"145,0";"5,0";"1172,20";"0,0"
"31/10/2022";"1300";"14,2";"14,8";"14,0";"91,0";"92,0";"87,0";"12,8";"13,3";"12,2";"857,9";"857,9";"857,7";"1,8";"146,0";"3,8";"1022,00";"0,0"
"31/10/2022";"1400";"13,3";"15,3";"13,3";"95,0";"95,0";"85,0";"12,5";"13,4";"12,3";"858,4";"858,4";"857,9";"2,2";"154,0";"4,0";"924,80";"0,2"
"31/10/2022";"1500";"13,4";"13,4";"12,8";"93,0";"96,0";"93,0";"12,4";"12,8";"12,1";"858,0";"858,5";"858,0";"2,5";"141,0";"5,1";"1075,00";"0,0"
"31/10/2022";"1600";"11,4";"13,4";"11,3";"95,0";"95,0";"90,0";"10,7";"12,2";"10,3";"858,5";"858,6";"858,0";"3,4";"152,0";"6,3";"571,90";"0,8"
"31/10/2022";"1700";"11,0";"11,5";"11,0";"97,0";"97,0";"95,0";"10,5";"11,0";"10,5";"858,6";"858,7";"858,4";"2,2";"129,0";"6,3";"533,70";"2,2"
"31/10/2022";"1800";"10,4";"11,2";"10,4";"96,0";"97,0";"96,0";"9,8";"10,7";"9,8";"858,6";"858,7";"858,4";"3,6";"151,0";"6,5";"436,60";"2,2"
"31/10/2022";"1900";"9,3";"10,4";"9,2";"95,0";"96,0";"94,0";"8,6";"9,9";"8,5";"859,0";"859,1";"858,4";"4,3";"151,0";"8,7";"460,00";"0,6"
