"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2022";"0000";"17,1";"17,3";"17,1";"";"";"";"";"";"";"920,0";"920,0";"919,5";"1,5";"76,0";"3,0";"";"0,0"
"01/05/2022";"0100";"17,3";"17,5";"17,1";"100,0";"100,0";"100,0";"17,3";"17,5";"17,2";"920,0";"920,0";"919,9";"1,5";"83,0";"3,9";"";"0,0"
"01/05/2022";"0200";"16,6";"17,3";"16,6";"";"";"";"";"";"";"920,0";"920,0";"919,9";"0,8";"117,0";"3,0";"";"0,0"
"01/05/2022";"0300";"17,1";"17,2";"16,6";"100,0";"";"";"17,1";"";"";"919,5";"920,0";"919,5";"0,8";"126,0";"2,3";"";"0,0"
"01/05/2022";"0400";"17,2";"17,2";"16,8";"100,0";"100,0";"100,0";"17,2";"17,2";"16,8";"919,0";"919,5";"918,9";"2,0";"77,0";"4,2";"";"0,0"
"01/05/2022";"0500";"17,6";"17,6";"17,2";"100,0";"100,0";"100,0";"17,6";"17,6";"17,2";"918,6";"919,0";"918,6";"1,3";"63,0";"4,2";"";"0,0"
"01/05/2022";"0600";"17,5";"17,7";"17,4";"100,0";"100,0";"100,0";"17,5";"17,7";"17,4";"918,2";"918,6";"918,2";"0,8";"83,0";"3,1";"";"0,0"
"01/05/2022";"0700";"17,3";"17,5";"17,2";"";"";"";"";"";"";"918,0";"918,3";"918,0";"0,7";"118,0";"2,4";"";"0,0"
"01/05/2022";"0800";"16,4";"17,3";"16,4";"";"";"";"";"";"";"918,1";"918,1";"917,9";"1,0";"97,0";"2,2";"";"0,0"
"01/05/2022";"0900";"15,6";"16,5";"15,6";"";"";"";"";"";"";"918,6";"918,6";"918,1";"0,8";"100,0";"2,0";"";"0,0"
"01/05/2022";"1000";"17,3";"17,3";"15,6";"";"";"";"";"";"";"919,4";"919,4";"918,6";"0,9";"118,0";"4,0";"174,40";"0,0"
