"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,2";"23,2";"22,5";"78,0";"79,0";"75,0";"19,1";"19,1";"18,4";"912,7";"912,7";"912,1";"0,1";"101,0";"4,0";"";"0,0"
"01/01/2025";"0100";"23,2";"23,5";"22,8";"76,0";"79,0";"73,0";"18,7";"19,1";"18,3";"913,2";"913,2";"912,7";"0,0";"117,0";"4,3";"";"0,0"
"01/01/2025";"0200";"20,1";"23,2";"19,8";"84,0";"91,0";"76,0";"17,3";"19,1";"17,2";"913,2";"913,5";"913,1";"2,9";"35,0";"8,8";"";"0,6"
"01/01/2025";"0300";"21,3";"21,6";"20,1";"79,0";"84,0";"78,0";"17,5";"18,0";"17,3";"912,8";"913,3";"912,8";"0,0";"70,0";"8,8";"0,20";"0,0"
"01/01/2025";"0400";"21,5";"22,3";"21,2";"70,0";"80,0";"66,0";"15,7";"17,6";"15,7";"912,4";"912,8";"912,4";"0,8";"23,0";"5,8";"";"0,0"
"01/01/2025";"0500";"21,1";"21,6";"20,9";"74,0";"76,0";"70,0";"16,4";"16,4";"15,6";"912,1";"912,5";"912,1";"3,6";"43,0";"8,8";"";"0,0"
"01/01/2025";"0600";"20,5";"21,1";"20,5";"78,0";"78,0";"74,0";"16,6";"16,6";"16,3";"911,7";"912,1";"911,7";"1,7";"30,0";"8,8";"";"0,0"
"01/01/2025";"0700";"20,3";"20,6";"20,3";"81,0";"81,0";"78,0";"16,9";"17,0";"16,6";"912,0";"912,0";"911,5";"2,9";"47,0";"8,6";"";"0,0"
"01/01/2025";"0800";"19,9";"20,3";"19,8";"84,0";"85,0";"81,0";"17,2";"17,2";"17,0";"912,4";"912,4";"911,9";"3,7";"54,0";"8,7";"";"0,0"
"01/01/2025";"0900";"19,5";"19,9";"19,3";"88,0";"88,0";"84,0";"17,5";"17,5";"17,2";"913,2";"913,2";"912,4";"0,9";"61,0";"8,5";"14,00";"0,0"
"01/01/2025";"1000";"21,6";"21,6";"19,5";"81,0";"88,0";"80,0";"18,2";"18,2";"17,5";"913,4";"913,4";"913,1";"1,9";"43,0";"6,7";"407,30";"0,0"
"01/01/2025";"1100";"23,5";"23,6";"21,6";"75,0";"81,0";"73,0";"18,9";"18,9";"17,9";"914,1";"914,1";"913,4";"0,6";"20,0";"7,3";"1260,10";"0,0"
